name,overview,description,keywords
obstacle-penalty,"Becomes disadvantageous on contact or destruction.","Objects to avoid, but often placed mixed with enemies.","minefield, taboo, delicate, precision, trap"
field-floors,"Multiple platforms float in the air.","No continuous ground; platforms are placed intermittently.","island, disconnection, altitude, isolation, stepping stones"
field-holes,"Holes exist in the ground.","Contains dangerous areas that cannot be traversed or cause falling.","pitfall, gap, risk, void, opening"
field-bottomless,"No floor at bottom of screen.","Falling results in immediate game over or inability to recover.","vertigo, crash, abyss, survival, height"
field-roughness,"Terrain is irregular and bumpy.","Not flat; slopes and friction changes affect movement.","friction, rough road, noise, uneven, resistance"
field-spike,"Dangerous zones with instant-death on contact.","High-risk terrain objects that result in failure just by touching.","danger, thorn, instant death, sharp, boundary"
field-outpost,"Specific points to reach exist.","Goals or checkpoints with the purpose of passing or touching.","base, goal, sanctuary, target, milestone"
field-lanes,"Movement routes are divided into multiple lanes.","Not free planar movement but moving on fixed multiple lines.","traffic, parallel, switch, highway, options"
field-pins,"Point-like objects are placed.","Collection of points functioning as platforms, obstacles, or hook points.","pachinko, node, net, grid, nail"
field-rotate,"The entire field or parts rotate.","Relative positions change as gravity direction or viewpoint rotates.","centrifuge, disorientation, orbit, axis, rotation"
field-press,"Terrain protrudes and narrows space.","Walls or ceiling move; safe zones change or disappear over time.","claustrophobia, press machine, piston, timing, pressure"
field-gravity,"Gravity or attraction acts.","Characters or objects are drawn toward a specific direction or point.","attraction, weight, orbit, magnet, Newton"
field-space,"Space with sparse friction or gravity.","Inertia works strongly; once moving, difficult to stop.","vacuum, zero gravity, drift, vastness, inertia"
field-water,"Fluid space with buoyancy or resistance.","Unlike air, movement has resistance or causes floating.","buoyancy, resistance, breathing, flow, depth"
field-weather,"Environmental factors have effects.","Natural phenomena interfere with play through poor visibility or external forces.","wind, storm, random, nature, change"
field-connected,"Objects are physically connected to each other.","Linked by chains or rods; they move in conjunction.","network, chain, link, dependency, structure"
field-regenerate,"Terrain or objects regenerate.","Revives after destruction or continues to be automatically generated.","growth, healing, infinite, undead, cycle"
field-1D,"Movement limited to 1 dimension.","Only left-right or up-down movement; cannot avoid in a plane.","line, tightrope, minimal, straight, cramped"
field-3D,"Movement or expression in depth direction exists.","Includes movement in Z-axis direction or perspective representation.","depth, perspective, volume, Z-axis, space"
field-multiple,"Multiple fields exist in parallel.","Simultaneous processing of events in different places through split screens.","multitasking, split screen, parallel, simultaneous, overview"
field-auto_scroll,"Screen scrolls forcibly.","Standing still is not allowed; constantly pushed forward.","time, rush, conveyor, no return, anxiety"
rule-match,"Match colors, shapes, numbers, etc.","Requires pattern recognition and selection, not just action.","pattern, order, set, identity, recognition"
rule-find,"Find a specific target.","Find the correct answer or goal among many.","search, concealment, detective, needle, discovery"
rule-classify,"Classify and sort targets.","Take different responses according to attributes.","sorting, gatekeeper, referee, filter, differentiation"
rule-surround,"Surround an area.","Create a closed shape with lines or objects.","encirclement, territory, lasso, capture, barrier"
rule-shelter,"Hide in safe zones.","Use cover or areas that block attacks.","safety, shelter, concealment, bunker, refuge"
rule-pass_through_gap,"Pass through narrow gaps.","Perform precise positioning and exploit gaps in collision detection.","eye of needle, precision, narrow path, gate, focus"
rule-balance,"Maintain equilibrium.","Control to not fall over or maintain center.","scale, seesaw, balance, topple, precariousness"
rule-mathematics,"Numerical processing is required.","Includes logical rules such as calculation, order, equations.","logic, calculation, equivalence, numbers, algorithm"
rule-physics,"Uses physical behavior.","Physics simulation elements like inertia, friction, collision are core.","inertia, collision, mass, simulation, action-reaction"
rule-geometry,"Involves geometric placement or shapes.","Uses angles, symmetry, properties of figures.","angle, figure, symmetry, space, mathematical beauty"
rule-time_limit,"Time limit exists.","Time as a resource decreases; ends when depleted.","deadline, adrenaline, race, decay, urgency"
rule-gauge_management,"Manage a gauge value.","Control parameter increase/decrease: store, maintain, consume.","economy, stamina, balance, thermostat, depletion"
rule-combo_multiplier,"Score increases with consecutive successes.","Rewards increase exponentially by continuing actions without mistakes.","momentum, flow, greed, rhythm, chain"
rule-control_weapons,"Control the weapon itself.","Directly move the attack means rather than the character.","remote control, puppet, indirect, drone, remote"
rule-proximity_bonus,"Reward increases closer to danger.","Get high scores by pushing close to collision.","daredevil, graze, risk, adrenaline, chicken race"
rule-time_manipulation,"Manipulate the flow of time.","Slow motion, stop, fast forward occur.","slow-mo, rewind, Matrix, relativity, control"
rule-chain,"Trigger chain reactions.","One action induces the next; effects propagate.","domino, reaction, cascade, link, ripple"
rule-friendly_fire,"Attack detection exists for allies.","Your attacks also hit yourself or ally objects.","betrayal, carefulness, chaos, self-destruct, double-edged sword"
on_pressed-turn,"Change movement direction.","Button input changes the travel vector by 90 or 180 degrees.","turn, switch, reaction, zigzag, sharp angle"
on_pressed-jump,"Leap into the air.","Gain an upward vector against gravity.","hop, escape, verticality, pulse, flight"
on_pressed-flap,"Flap in the air.","Maintain buoyancy with intermittent input, balancing with gravity.","bird, resist, rhythm, float, hang"
on_pressed-reverse_state,"Reverse state or attribute.","Switch gravity, color, direction of travel to the opposite state.","invert, switch, polarity, flip, toggle"
on_pressed-shoot,"Fire a projectile.","Generate and launch an object.","fire, release, projectile, action, attack"
on_pressed-pierce,"Perform a piercing attack.","Penetrate obstacles and interfere to the other side of the line.","drill, spear, straight, breakthrough, skewer"
on_pressed-split,"Split self or target.","One entity divides into multiple and begins behaving individually.","divide, multiply, spread, scatter, cell"
on_pressed-select_route,"Select and decide a route.","Confirm which route to take at a junction.","switch, decision, branch, path, destiny"
on_pressed-go_forward,"Move forward or accelerate.","Forward force only occurs on input.","thrust, gas, impulse, step, advance"
on_pressed-jump_into_another,"Jump to another target.","Leave the current host and move or possess the target.","host, possess, hop, transfer, switch"
on_pressed-fall,"Rapid descent.","Cancel mid-air hang time and rush to the ground.","drop, weight, anchor, dive, gravity"
on_pressed-change_field,"Switch the field state.","Instantly change the background or environmental rules.","world change, dimension, toggle, shift, magic"
on_pressed-attack,"Perform a melee attack.","Immediately create attack detection around self or in front.","strike, melee, impact, instant, impact"
on_holding-adjust_angle,"Continue adjusting angle or direction.","While button is held, aim or direction of travel continues to change.","aim, dial, precision, focus, rotate"
on_holding-rotate,"Continue rotating.","While button is held, object performs rotational motion.","spin, wind-up, direction, orientation, spiral"
on_holding-thrust,"Continue generating thrust.","Like a rocket, only accelerates while being pressed.","rocket, jet, accelerate, push, burst"
on_holding-move,"Continue moving.","Only moves while button is held.","drive, slide, active, control, run"
on_holding-stop,"Stop in place.","Forcibly stop movement and fix position.","brake, freeze, wait, patience, still"
on_holding-shoot,"Rapid fire.","Fire bullets intermittently or continuously while button is held.","machine gun, beam, torrent, pour, barrage"
on_holding-extend,"Extend body or weapon.","Object elongates proportional to button hold duration.","growth, reach, stretch, flexible, elastic"
on_holding-charge,"Store energy.","Invest time to enhance the effect of later actions.","accumulation, power, tension, release, charge"
on_holding-inhale,"Inhale.","Generate attraction that draws surrounding objects.","vacuum, Kirby, gravity, suction, convergence"
on_holding-defend,"Enter defensive state.","Block attacks but often restricts other actions like movement.","shield, turtle, shell, safety, hunker"
on_holding-defenseless,"Become defenseless but do something.","Defense drops or cannot move as a trade-off for a powerful action.","vulnerable, casting, exposed, channeling, risk"
on_holding-reverse_state,"Temporarily reverse state.","Only while held, become the other world or opposite attribute.","alternate, phase shift, toggle, hold, transform"
on_holding-avoid,"Maintain evasion state.","Become a state that passes through enemies or bullets.","ghost, intangible, dodge, phase, invincible"
on_released-throw,"Throw or fire.","Release stored power or held object.","toss, launch, catapult, let go, throw"
on_released-erase,"Erase or detonate.","Become a trigger to make placed items or selected range disappear.","delete, detonate, trigger, cut, destroy"
on_got_item-reverse_state,"State reverses on item acquisition.","Not power-up but rules or physics laws reverse.","curse, blessing, mutation, invert, trick"
on_got_item-power_up,"Abilities improve.","Speed, attack power, size, etc. are enhanced.","growth, strength, evolution, buff, awakening"
on_got_item-spawn,"Allies or duplicates increase.","Units that help the player are generated.","reinforcement, clone, army, addition, recruit"
