tag,category,role,typical_interaction,compatible_categories,complexity_level
field:pins,field,anchor_points,connection_nodes,player+weapon+rule,medium
field:holes,field,terrain_gap,falling_hazard,player+rule+obstacle,medium
field:roughness,field,physics_modifier,uneven_terrain,player+rule+weapon,medium
field:1D,field,dimension_constraint,linear_movement,player+obstacle+rule,medium
field:gravity,field,physics_modifier,gravitational_force,player+weapon+rule,low
field:press,field,interaction_trigger,pressure_activation,player+rule+weapon,minimal
field:regenerate,field,dynamic_terrain,self_repairing,rule+obstacle+weapon,minimal
field:scroll,field,movement_mechanic,automatic_panning,player+obstacle+rule,low
field:slide,field,surface_modifier,slippery_terrain,player+obstacle+rule,low
field:floating,field,platform_type,hovering_surface,player+rule+weapon,low
field:narrow,field,space_constraint,tight_passage,player+obstacle+rule,low
field:magnetic,field,force_modifier,attraction_repulsion,player+weapon+rule,low
field:wrap,field,boundary_behavior,screen_wrapping,player+obstacle+rule,low
field:destructible,field,interactive_terrain,breakable_surface,weapon+rule+obstacle,low
field:conveyor,field,movement_modifier,forced_motion,player+obstacle+rule,low
field:maze,field,navigation_puzzle,pathfinding_challenge,player+rule+obstacle,low
rule:physics,rule,simulation_core,realistic_movement,player+field+weapon,medium
rule:match,rule,pattern_recognition,sequence_matching,player+field+obstacle,medium
rule:time_limit,rule,temporal_constraint,deadline_pressure,player+field+weapon,medium
rule:combo_multiplier,rule,scoring_system,streak_rewards,player+weapon+obstacle,medium
rule:chain,rule,cascade_mechanics,chain_reactions,weapon+field+obstacle,medium
rule:find,rule,search_objective,discovery_task,player+field+obstacle,minimal
rule:hit_all,rule,completion_requirement,total_elimination,weapon+obstacle+field,low
rule:symmetry,rule,pattern_constraint,mirrored_layout,field+player+obstacle,low
rule:reverse,rule,inversion_mechanic,opposite_control,player+field+weapon,low
rule:growth,rule,progression_system,expanding_elements,field+player+obstacle,low
rule:shrink,rule,reduction_mechanic,contracting_elements,field+player+obstacle,low
rule:falling,rule,gravity_system,downward_movement,player+field+obstacle,low
rule:avoid,rule,evasion_objective,survival_task,player+obstacle+field,low
rule:consume,rule,collection_mechanic,resource_gathering,player+field+obstacle,low
rule:decay,rule,degradation_system,time_based_loss,field+player+rule,low
rule:binary,rule,state_system,on_off_toggle,player+field+weapon,low
rule:bullet_hell,rule,density_challenge,overwhelming_projectiles,weapon+player+field,low
rule:one_way,rule,directional_constraint,irreversible_movement,field+player+obstacle,low
obstacle:penalty,obstacle,negative_feedback,punishment_system,player+rule+weapon,medium
obstacle:stack,obstacle,accumulation_mechanic,layered_barriers,field+player+rule,minimal
obstacle:move,obstacle,dynamic_hazard,mobile_threat,player+field+rule,low
obstacle:destroy_on_hit,obstacle,fragile_barrier,breakable_obstruction,weapon+player+rule,low
obstacle:large,obstacle,size_modifier,oversized_threat,player+field+weapon,low
obstacle:generate,obstacle,spawning_system,dynamic_creation,rule+field+player,low
obstacle:follow,obstacle,tracking_behavior,pursuit_mechanics,player+field+rule,low
obstacle:many,obstacle,quantity_modifier,swarm_mechanics,player+weapon+rule,low
on_pressed:jump,input,movement_trigger,upward_motion,player+field+rule,low
on_pressed:shoot,input,attack_trigger,projectile_fire,weapon+player+obstacle,low
on_pressed:turn,input,direction_change,rotation_control,player+field+rule,low
on_pressed:reverse_state,input,state_toggle,mode_switching,player+rule+field,medium
on_pressed:speed_up,input,acceleration_boost,velocity_increase,player+field+rule,low
on_pressed:slow_down,input,deceleration,velocity_decrease,player+field+rule,low
on_pressed:warp,input,teleportation,position_jump,player+field+rule,low
on_pressed:grow,input,size_increase,scale_expansion,player+field+weapon,low
on_pressed:shrink,input,size_decrease,scale_reduction,player+field+weapon,low
on_pressed:add_trail,input,visual_effect,path_marking,player+field+rule,minimal
on_pressed:change_direction,input,movement_modifier,course_alteration,player+field+obstacle,low
on_pressed:stop,input,halt_command,motion_cessation,player+field+rule,low
on_pressed:drop,input,release_action,object_placement,weapon+field+player,low
on_holding:move,input,sustained_movement,continuous_motion,player+field+rule,medium
on_holding:shoot,input,sustained_attack,continuous_fire,weapon+player+obstacle,medium
on_holding:extend,input,expansion_control,size_growth,player+field+weapon,medium
on_holding:thrust,input,acceleration,sustained_boost,player+field+rule,medium
on_holding:rotate,input,rotational_control,spinning_motion,player+field+weapon,medium
on_holding:adjust_angle,input,precision_aiming,directional_control,weapon+player+field,medium
on_holding:stop,input,brake_control,motion_halt,player+field+rule,medium
on_holding:shrink,input,size_reduction,scale_contraction,player+field+weapon,low
on_holding:turn,input,steering_control,direction_guidance,player+field+obstacle,low
on_holding:charge,input,power_accumulation,energy_buildup,weapon+player+rule,low
on_holding:stretch,input,elastic_deformation,flexible_extension,player+field+weapon,low
on_holding:lock_on,input,target_acquisition,aiming_assistance,weapon+player+obstacle,low
on_holding:slow,input,time_dilation,speed_reduction,rule+player+field,low
on_released:throw,input,launch_action,projectile_release,weapon+player+field,medium
on_released:explode,input,detonation_trigger,blast_activation,weapon+field+obstacle,low
on_got_item:speed_up,item,enhancement_effect,velocity_boost,player+field+rule,minimal
on_got_item:jump_high,item,ability_enhancement,improved_jumping,player+field+rule,minimal
on_got_item:invincible,item,protection_effect,damage_immunity,player+obstacle+rule,minimal
