date,tags,slug,outcome,notes,ga_best_score,ga_resistance,technical_score,design_score,novelty_score,overall_score
2025-10-13,"player:rotate|field:vertical",pin_climb,pass,mode=sim,,,,,,
2025-10-13,"player:rotate|field:vertical",pin_climb,pass,mode=ga,490,High,40,74,0,42
2025-10-14,"",outpost_shield,fail,mode=lint,,,,,,
2025-10-14,"",outpost_shield,pass,mode=lint,,,,,,
2025-10-14,"",outpost_shield,pass,mode=sim,,,,,,
2025-10-14,"",outpost_shield,pass,mode=ga,95,Moderate,70,57,0,48
2025-10-14,"",outpost_shield,pass,mode=ga,317,High,50,64,0,42
2025-10-14,"",outpost_shield,pass,mode=full,,,50,60,27,47
2025-10-14,"player:bar|player:rotate|field:press|field:scroll|weapon:speed|weapon:spread|rule:consume",spin_drill,scaffolded,initial scaffold stub
2025-10-14,"player:bar|player:rotate|field:press|field:scroll|weapon:speed|weapon:spread|rule:consume",spin_drill,pass,mode=full,,,70,53,89,70
2025-10-14,"player:bar|player:rotate|field:press|field:scroll|weapon:speed|weapon:spread|rule:consume",spin_drill,pass,mode=ga,0,Low,100,53,0,59
2025-10-15,"",drift_leap,pass,mode=full,,,70,50,26,50
2025-10-15,"player:inverted|player:limited_vision|field:floating|field:bottomless|weapon:laser|weapon:speed|rule:one_way|rule:decay",drift_leap,pass,mode=ga,0,Low,100,50,0,58
2025-10-15,"player:inverted|player:limited_vision|field:floating|field:bottomless|weapon:laser|weapon:speed|rule:one_way|rule:decay",drift_leap,pass,mode=full,,,70,50,86,68
2025-10-15,"player:inverted|player:limited_vision|field:floating|field:bottomless|weapon:laser|weapon:speed|rule:one_way|rule:decay",drift_leap,pass,mode=comprehensive,0,Low,100,50,86,78
2025-10-15,"player:inverted|player:limited_vision|field:floating|field:bottomless|weapon:laser|weapon:speed|rule:one_way|rule:decay",drift_leap,pass,mode=sim,,,,,,
2025-10-15,"player:inverted|player:limited_vision|field:floating|field:bottomless|weapon:laser|weapon:speed|rule:one_way|rule:decay",drift_leap,pass,mode=sim,,,,,,
2025-10-15,"player:inverted|player:limited_vision|field:floating|field:bottomless|weapon:laser|weapon:speed|rule:one_way|rule:decay",drift_leap,pass,mode=sim,,,,,,
2025-10-15,"player:inverted|player:limited_vision|field:floating|field:bottomless|weapon:laser|weapon:speed|rule:one_way|rule:decay",drift_leap,pass,mode=sim,,,,,,
2025-10-15,"player:inverted|player:limited_vision|field:floating|field:bottomless|weapon:laser|weapon:speed|rule:one_way|rule:decay",drift_leap,pass,mode=sim,,,,,,
2025-10-15,"player:inverted|player:limited_vision|field:floating|field:bottomless|weapon:laser|weapon:speed|rule:one_way|rule:decay",drift_leap,pass,mode=ga,30,Low,100,51,0,58
2025-10-15,"player:inverted|player:limited_vision|field:floating|field:bottomless|weapon:laser|weapon:speed|rule:one_way|rule:decay",drift_leap,pass,mode=comprehensive,30,Low,90,53,87,76
2025-10-15,"player:inverted|player:limited_vision|field:floating|field:bottomless|weapon:laser|weapon:speed|rule:one_way|rule:decay",drift_leap,pass,mode=lint,,,,,,
2025-10-15,"player:bar|player:automatic|field:outpost|field:floating|weapon:short_range|weapon:chase|rule:symmetry|rule:binary",dual_rotor,scaffolded,initial scaffold stub
2025-10-15,"player:bar|player:automatic|field:outpost|field:floating|weapon:short_range|weapon:chase|rule:symmetry|rule:binary",dual_rotor,pass,mode=lint,,,,,,
2025-10-15,"player:bar|player:automatic|field:outpost|field:floating|weapon:short_range|weapon:chase|rule:symmetry|rule:binary",dual_rotor,pass,mode=ga,40,Low,80,58,0,52
2025-10-15,"player:bar|player:automatic|field:outpost|field:floating|weapon:short_range|weapon:chase|rule:symmetry|rule:binary",dual_rotor,pass,mode=ga,50,Low,90,56,0,56
2025-10-15,"player:bar|player:automatic|field:outpost|field:floating|weapon:short_range|weapon:chase|rule:symmetry|rule:binary",dual_rotor,pass,mode=ga,10,Low,100,53,0,59
2025-10-15,"player:bar|player:automatic|field:outpost|field:floating|weapon:short_range|weapon:chase|rule:symmetry|rule:binary",dual_rotor,pass,mode=full,,,60,57,90,68
2025-11-09,"player:reciprocate|field:magnetic|weapon:gravity|rule:physics|rule:shrink",magnetic_pendulum,pass,mode=lint,,,,,,
2025-11-09,"player:reciprocate|field:magnetic|weapon:gravity|rule:physics|rule:shrink",magnetic_pendulum,pass,mode=ga,50,Low,70,65,0,51
2025-11-09,"player:reciprocate|field:magnetic|weapon:gravity|rule:physics|rule:shrink",magnetic_pendulum,pass,mode=full,,,40,83,91,70
2025-11-09,"",dev,fail,mode=lint,,,,,,
2025-11-09,"",dev,fail,mode=lint,,,,,,
2025-11-09,"",dev,pass,mode=lint,,,,,,
2025-11-09,"",dev,pass,mode=sim,,,,,,
2025-11-09,"player:bounce|field:gravity|rule:physics",dev,pass,mode=full,,,70,50,96,71
2025-11-16,"",wind_rang,pass,mode=lint,,,,,,
2025-11-16,"",wind_rang,pass,mode=full,,,40,83,23,50
2025-11-16,"",wind_rang,pass,mode=lint,,,,,,
2025-11-16,"",wind_rang,pass,mode=full,,,40,83,23,50
2025-11-16,"",wind_rang,pass,mode=lint,,,,,,
2025-11-16,"",wind_rang,pass,mode=lint,,,,,,
2025-11-16,"",wind_rang,pass,mode=lint,,,,,,
2025-11-16,"",wind_rang,pass,mode=lint,,,,,,
2025-11-17,"player:multiple|field:lanes|weapon:change_field|rule:combo_multiplier|obstacle:penalty",dev,pass,mode=lint,,,,,,
2025-11-17,"player:multiple|field:lanes|weapon:change_field|rule:combo_multiplier|obstacle:penalty",dev,pass,mode=sim,,,,,,
2025-11-17,"player:multiple|field:lanes|weapon:change_field|rule:combo_multiplier|obstacle:penalty",dev,pass,mode=ga,0,Low,70,83,0,57
2025-11-17,"player:multiple|field:lanes|weapon:change_field|rule:combo_multiplier|obstacle:penalty",dev,pass,mode=ga,0,Low,70,83,0,57
2025-11-17,"player:multiple|field:lanes|weapon:change_field|rule:combo_multiplier|obstacle:penalty",dev,pass,mode=ga,0,Low,70,83,0,57
2025-11-17,"player:multiple|field:lanes|weapon:change_field|rule:combo_multiplier|obstacle:penalty",dev,pass,mode=lint,,,,,,
2025-11-17,"player:multiple|field:lanes|weapon:change_field|rule:combo_multiplier|obstacle:penalty",dev,pass,mode=lint,,,,,,
2025-11-17,"player:multiple|field:lanes|weapon:change_field|rule:combo_multiplier|obstacle:penalty",dev,pass,mode=sim,,,,,,
2025-11-17,"player:multiple|field:lanes|weapon:change_field|rule:combo_multiplier|obstacle:penalty",dev,pass,mode=ga,0,Low,100,50,0,58
2025-11-17,"player:multiple|field:lanes|weapon:change_field|rule:combo_multiplier|obstacle:penalty",dev,pass,mode=sim,,,,,,
2025-11-17,"player:multiple|field:lanes|weapon:change_field|rule:combo_multiplier|obstacle:penalty",dev,pass,mode=sim,,,,,,
2025-11-17,"player:multiple|field:lanes|weapon:change_field|rule:combo_multiplier|obstacle:penalty",dev,pass,mode=sim,,,,,,
2025-11-17,"player:multiple|field:lanes|weapon:change_field|rule:combo_multiplier|obstacle:penalty",dev,pass,mode=sim,,,,,,
2025-11-17,"player:multiple|field:lanes|weapon:change_field|rule:combo_multiplier|obstacle:penalty",dev,pass,mode=sim,,,,,,
2025-11-17,"player:multiple|field:lanes|weapon:change_field|rule:combo_multiplier|obstacle:penalty",dev,pass,mode=sim,,,,,,
2025-11-17,"player:multiple|field:lanes|weapon:change_field|rule:combo_multiplier|obstacle:penalty",dev,pass,mode=sim,,,,,,
2025-11-17,"player:multiple|field:lanes|weapon:change_field|rule:combo_multiplier|obstacle:penalty",dev,pass,mode=sim,,,,,,
2025-11-17,"player:multiple|field:lanes|weapon:change_field|rule:combo_multiplier|obstacle:penalty",dev,pass,mode=sim,,,,,,
2025-11-17,"player:multiple|field:lanes|weapon:change_field|rule:combo_multiplier|obstacle:penalty",dev,pass,mode=sim,,,,,,
2025-11-17,"player:multiple|field:lanes|weapon:change_field|rule:combo_multiplier|obstacle:penalty",dev,pass,mode=sim,,,,,,
2025-11-17,"player:multiple|field:lanes|weapon:change_field|rule:combo_multiplier|obstacle:penalty",dev,pass,mode=sim,,,,,,
2025-11-17,"player:multiple|field:lanes|weapon:change_field|rule:combo_multiplier|obstacle:penalty",dev,pass,mode=sim,,,,,,
2025-11-17,"player:multiple|field:lanes|weapon:change_field|rule:combo_multiplier|obstacle:penalty",dev,pass,mode=full,,,70,50,89,69
2025-11-17,"player:multiple|field:lanes|weapon:change_field|rule:combo_multiplier|obstacle:penalty",dev,pass,mode=sim,,,,,,
2025-11-17,"player:multiple|field:lanes|weapon:change_field|rule:combo_multiplier|obstacle:penalty",dev,pass,mode=sim,,,,,,
2025-11-17,"player:multiple|field:lanes|weapon:change_field|rule:combo_multiplier|obstacle:penalty",dev,pass,mode=full,,,70,50,89,69
