name,overview,description,keywords
player-rotate,プレイヤーキャラクターが回転し続ける。,移動ベクトルや射撃方向が時間経過と共に周期的に変化する。,遠心力, 時計, 周期, 螺旋, レーダー
obstacle-foresee,プレイヤーの動きを先読みする。,現在の位置ではなく、未来の予測位置に対してアクションを行う。,スナイパー, 予測, AI, 計算, 狡猾
obstacle-well_up,下から湧き上がる。,地面や画面下部から出現し、上方向へ移動する。,間欠泉, 上昇, 噴出, 泡, 発生源
obstacle-penalty,接触・破壊すると不利になる。,避けるべき対象だが、敵と混在して配置されることが多い。,地雷原, タブー, 繊細, 精度, 罠
field-floors,空中に複数のプラットフォームが浮遊している。,連続した地面がなく、足場が断続的に配置されている。,島, 断絶, 高度, 孤立, 飛び石
field-holes,地面に穴が存在する。,移動できない、あるいは落下する危険な領域が含まれる。,落とし穴, 欠落, リスク, 虚無, 隙間
field-bottomless,画面下に床がない。,落下すると即座にゲームオーバー、あるいは復帰不能になる。,めまい, 墜落, 奈落, サバイバル, 高さ
field-roughness,地形が不規則で凸凹している。,平坦ではなく、傾斜や摩擦の変化が移動に影響を与える。,摩擦, 悪路, ノイズ, 不均一, 抵抗
field-spike,接触即ミスの危険地帯がある。,触れるだけでアウトになる高リスクな地形オブジェクト。,危険, 棘, 即死, 鋭利, 境界
field-outpost,到達すべき特定の地点がある。,通過や接触を目的とするゴールやチェックポイント。,基地, ゴール, 聖域, 標的, マイルストーン
field-lanes,移動ルートが複数のレーンに分かれている。,自由な平面移動ではなく、固定された複数のライン上を移動する。,交通, 並列, 切り替え, ハイウェイ, 選択肢
field-pins,点状のオブジェクトが配置されている。,足場、障害物、フックポイントなどとして機能する「点」の集合。,パチンコ, ノード, 網, グリッド, 釘
field-rotate,フィールド全体や一部が回転する。,重力方向や視点が回ることで、相対的な位置関係が変化する。,遠心分離機, 方向感覚喪失, 軌道, 軸, 回転
field-press,地形が迫り出し、空間を狭める。,壁や天井が移動し、安全地帯が時間とともに変化・消失する。,閉所恐怖症, プレス機, ピストン, タイミング, 圧迫
field-gravity,重力や引力が作用する。,キャラクターやオブジェクトが特定の方向や点に引き寄せられる。,引力, 重さ, 軌道, 磁石, ニュートン
field-space,摩擦や重力が希薄な空間。,慣性が強く働き、一度動き出すと止まりにくい。,真空, 無重力, 漂流, 広大, 慣性
field-water,浮力や抵抗がある流体空間。,空中とは異なり、移動に抵抗がかかったり、浮き上がったりする。,浮力, 抵抗, 呼吸, 流れ, 深度
field-weather,環境要因（風、雨）が影響する。,視界不良や外力（風）など、自然現象がプレイを妨害する。,風, 嵐, ランダム, 自然, 変化
field-connected,オブジェクト同士が物理的に接続されている。,鎖や棒で繋がれており、連動して動く。,ネットワーク, 連鎖, リンク, 依存, 構造
field-regenerate,地形やオブジェクトが再生する。,破壊しても復活する、あるいは自動的に生成され続ける。,成長, 治癒, 無限, アンデッド, サイクル
field-1D,1次元（線）上の移動に限定される。,左右（または上下）のみの移動で、平面的な回避ができない。,線, 綱渡り, ミニマル, 直線, 窮屈
field-3D,奥行き方向への移動や表現がある。,Z軸方向への移動や、遠近法を用いた表現が含まれる。,深度, 遠近法, 体積, Z軸, 空間
field-multiple,複数のフィールドが並列する。,画面分割などにより、異なる場所の出来事を同時に処理する。,マルチタスク, 分割画面, 並列, 同時進行, 俯瞰
field-auto_scroll,強制的に画面がスクロールする。,立ち止まることが許されず、常に先へ進まされる。,時間, ラッシュ, コンベア, 後戻り不能, 焦燥
rule-match,色・形・数字などを一致させる。,アクションだけでなく、パターン認識と選別が求められる。,パターン, 秩序, セット, 同一性, 認識
rule-find,特定の対象を探し出す。,多数の中から正解や目標を見つける。,探索, 隠蔽, 探偵, 針, 発見
rule-classify,対象を分類・選別する。,属性に応じて異なる対応（倒す/避ける/集める）を行う。,仕分け, 門番, 審判, フィルタ, 差別化
rule-surround,領域を囲む。,線やオブジェクトで閉じた形状を作り出す。,包囲, 陣取り, 投げ縄, 捕獲, 結界
rule-shelter,安全地帯に隠れる。,攻撃を防ぐ遮蔽物やエリアを利用する。,安全, 雨宿り, 隠蔽, バンカー, 避難
rule-pass_through_gap,狭い隙間を通り抜ける。,精密な位置合わせを行い、衝突判定の隙間を突く。,針の穴, 精密, 狭路, ゲート, 集中
rule-balance,平衡を保つ。,倒れないように、あるいは中心を維持するように制御する。,天秤, シーソー, 平衡, 転倒, 危うさ
rule-mathematics,数的な処理が必要になる。,計算、順序、等式などの論理的なルールが含まれる。,論理, 計算, 等価, 数字, アルゴリズム
rule-physics,物理挙動を利用する。,慣性、摩擦、衝突などの物理シミュレーション要素が核となる。,慣性, 衝突, 質量, シミュレーション, 作用反作用
rule-geometry,幾何学的な配置や形状に関わる。,角度、対称性、図形の性質を利用する。,角度, 図形, 対称性, 空間, 数学美
rule-time_limit,時間制限が存在する。,リソースとしての時間が減少し、枯渇すると終了する。,締め切り, アドレナリン, レース, 減衰, 焦り
rule-gauge_management,ゲージ（数値）を管理する。,溜める、維持する、消費するなど、パラメータの増減を制御する。,経済, スタミナ, バランス, サーモスタット, 枯渇
rule-combo_multiplier,連続成功でスコアが増加する。,ミスなくアクションを続けることで、報酬が指数関数的に増える。,勢い, フロー, 強欲, リズム, 連鎖
rule-control_weapons,武器自体を操作する。,キャラクターではなく、攻撃手段（剣や弾）を直接動かす。,リモコン, 操り人形, 間接的, ドローン, 遠隔
rule-proximity_bonus,危険に近づくほど報酬が増える。,衝突ギリギリを攻めることで高得点を得る。,命知らず, かすり, リスク, アドレナリン, チキンレース
rule-time_manipulation,時間の流れを操作する。,スローモーション、停止、早送りなどが発生する。,スロー, 巻き戻し, マトリックス, 相対性, 制御
rule-chain,連鎖反応を引き起こす。,一つのアクションが次のアクションを誘発し、効果が波及する。,ドミノ, 反応, カスケード, リンク, 波及
rule-friendly_fire,味方への攻撃判定が存在する。,自分の攻撃が自分自身や味方オブジェクトにもヒットする。,裏切り, 注意深さ, 混沌, 自爆, 諸刃の剣
on_pressed-turn,移動方向を変更する。,ボタン入力で進行ベクトルが90度/180度などに変化する。,転換, スイッチ, 反応, ジグザグ, 鋭角
on_pressed-jump,空中に跳躍する。,重力に逆らって上方向へのベクトルを得る。,ホップ, 脱出, 垂直性, パルス, 飛翔
on_pressed-flap,空中ではばたく。,断続的な入力で浮力を維持し、重力と釣り合わせる。,鳥, 抗う, リズム, 浮遊, 滞空
on_pressed-reverse_state,状態や属性を反転させる。,重力、色、進行方向などを正反対の状態に切り替える。,反転, スイッチ, 極性, 裏表, トグル
on_pressed-shoot,弾を発射する。,オブジェクトを生成・射出する。,発射, 解放, 投射物, アクション, 攻撃
on_pressed-pierce,貫通攻撃を行う。,障害物を突き抜けて、直線の向こう側まで干渉する。,ドリル, 槍, 直線, 突破, 串刺し
on_pressed-split,自身や対象を分裂させる。,一つの実体が複数に分かれ、個別に挙動し始める。,分割, 増殖, 拡散, 散布, 細胞
on_pressed-select_route,進路を選択・決定する。,分岐点において、どのルートを進むかを確定させる。,スイッチ, 決断, 分岐, パス, 運命
on_pressed-go_forward,前方へ進む/加速する。,入力時のみ前進力が発生する（アクセル）。,推力, ガス, インパルス, 一歩, 前進
on_pressed-jump_into_another,別の対象へ飛び移る。,現在の依り代を捨てて、ターゲットへ移動・憑依する。,宿主, 憑依, ホップ, 転送, 乗り換え
on_pressed-fall,急速落下する。,空中での滞空をキャンセルし、地面へ急ぐ。,投下, 重り, アンカー, ダイブ, 重力
on_pressed-change_field,フィールドの状態を切り替える。,背景や環境ルールを瞬時に変更する。,世界改変, 次元, トグル, シフト, 魔法
on_pressed-attack,近接攻撃を行う。,自身の周囲や前方に対して即座に攻撃判定を出す。,打撃, 格闘, 衝撃, 瞬間, インパクト
on_holding-adjust_angle,角度や方向を調整し続ける。,ボタンを押している間、照準や進行方向が変化し続ける。,狙い, ダイヤル, 精密, 集中, 旋回
on_holding-rotate,回転し続ける。,ボタンを押している間、オブジェクトが回転運動を行う。,スピン, 巻き上げ, 方角, 指向, 螺旋
on_holding-thrust,推力を発生させ続ける。,ロケットのように、押し続けている間だけ加速する。,ロケット, ジェット, 加速, 押し出し, 噴射
on_holding-move,移動し続ける。,ボタンを押している間だけ移動を行う。,ドライブ, スライド, 能動的, 制御, 走行
on_holding-stop,その場で停止する。,移動を強制的に止め、位置を固定する。,ブレーキ, 凍結, 待機, 忍耐, 静止
on_holding-shoot,連射する。,ボタンを押している間、弾を断続的・継続的に発射する。,マシンガン, ビーム, 奔流, 注ぐ, 弾幕
on_holding-extend,体や武器を伸ばす。,ボタン長さに比例してオブジェクトが伸長する。,成長, リーチ, 伸縮, ストレッチ, 柔軟
on_holding-charge,エネルギーを溜める。,時間を投資して、後のアクション（離した時など）の効果を高める。,蓄積, 力, 緊張, 解放, 溜め
on_holding-inhale,吸い込む。,周囲のオブジェクトを引き寄せる引力を発生させる。,掃除機, カービィ, 重力, 吸引, 収束
on_holding-defend,防御状態になる。,攻撃を防ぐが、移動などの他アクションが制限されることが多い。,盾, 亀, 殻, 安全, こもる
on_holding-defenseless,無防備になる（が、何かを行う）。,強力なアクションの代償として、防御力が下がるか動けなくなる。,脆弱, 詠唱, 露出, チャネリング, リスク
on_holding-reverse_state,一時的に状態を反転する。,押している間だけ、裏の世界や逆の属性になる。,代替, 位相ズレ, トグル, 保持, 変身
on_holding-avoid,回避状態を維持する。,敵や弾をすり抜ける状態になる。,幽霊, 実体なし, ドッジ, 位相, 無敵
on_released-throw,投げる/発射する。,溜めた力や持っているオブジェクトを解き放つ。,トス, 発射, カタパルト, 手放す, 投擲
on_released-erase,消去/起爆する。,設置したものや選択範囲を消滅させるトリガーとなる。,削除, 起爆, トリガー, 切断, 破壊
on_got_item-reverse_state,アイテム取得で状態が反転する。,パワーアップではなく、ルールや物理法則が逆転する。,呪い, 祝福, 変異, 反転, トリック
on_got_item-power_up,能力が向上する。,速度、攻撃力、サイズなどが強化される。,成長, 強さ, 進化, バフ, 覚醒
on_got_item-spawn,味方や分身が増える。,プレイヤーを助けるユニットが生成される。,援軍, クローン, 軍隊, 追加, 増員
